,RASI_X,RASI_Y,RASI_Z,LASI_X,LASI_Y,LASI_Z,RPSI_X,RPSI_Y,RPSI_Z,LPSI_X,LPSI_Y,LPSI_Z,RKNE_X,RKNE_Y,RKNE_Z,LKNE_X,LKNE_Y,LKNE_Z,RANK_X,RANK_Y,RANK_Z,LANK_X,LANK_Y,LANK_Z,RTOE_X,RTOE_Y,RTOE_Z,LTOE_X,LTOE_Y,LTOE_Z,RHEE_X,RHEE_Y,RHEE_Z,LHEE_X,LHEE_Y,LHEE_Z,RKNE2_X,RKNE2_Y,RKNE2_Z,LKNE2_X,LKNE2_Y,LKNE2_Z,RANK2_X,RANK2_Y,RANK2_Z,LANK2_X,LANK2_Y,LANK2_Z
0,-23.753,636.853,941.056,-24.949,401.996,951.173,137.124,561.961,967.071,138.951,473.745,970.777,74.021,675.935,474.292,72.855,349.162,476.295,124.603,678.048,80.412,118.477,350.838,79.8,-69.175,664.708,50.808,-71.239,366.234,51.615,184.758,619.352,57.527,183.196,400.747,49.709,75.756,568.948,454.922,78.187,459.962,469.107,102.66,592.338,100.109,85.818,437.123,101.615
1,-23.769,636.864,941.061,-24.968,401.956,951.176,137.122,561.906,967.062,138.892,473.691,970.795,74.029,675.947,474.323,72.864,349.152,476.303,124.635,678.073,80.435,118.489,350.864,79.787,-69.163,664.642,50.807,-71.198,366.136,51.568,184.766,619.374,57.52,183.209,400.71,49.711,75.727,568.952,454.936,78.189,459.898,469.124,102.641,592.352,100.081,85.808,437.091,101.617
2,-23.765,636.885,940.933,-24.972,401.956,951.183,137.17,561.831,966.999,138.765,473.438,970.908,74.232,675.588,474.147,72.837,349.168,476.284,124.772,678.01,80.496,118.39,351.153,79.624,-69.347,664.795,50.869,-71.239,366.21,51.636,184.77,619.354,57.511,183.202,401.013,49.401,75.717,568.912,454.948,78.178,459.877,469.282,102.598,592.137,100.252,85.996,437.348,101.664
3,-23.78,636.886,940.955,-24.977,401.912,951.179,137.177,561.821,966.992,138.421,473.18,970.776,74.229,675.627,474.156,72.823,349.098,476.316,124.764,678.01,80.504,118.367,351.236,79.559,-69.35,664.885,50.802,-71.219,366.184,51.57,184.764,619.344,57.5,183.228,400.941,49.454,75.733,568.888,454.955,78.19,459.837,469.241,102.624,592.118,100.226,85.985,437.366,101.669
4,-23.759,636.763,940.904,-24.97,401.976,951.14,137.188,561.764,966.931,138.465,473.303,970.727,74.238,675.606,474.123,72.861,349.128,476.281,124.88,677.957,80.529,118.386,351.105,79.629,-69.345,664.804,50.806,-71.214,366.21,51.635,184.87,619.313,57.446,183.261,400.957,49.397,75.696,568.939,454.931,78.1,459.825,469.304,102.697,592.299,100.114,85.98,437.344,101.639
5,-23.763,636.752,940.9,-24.962,401.996,951.127,137.157,561.733,966.916,138.466,473.237,970.715,74.209,675.64,474.115,72.891,349.179,476.271,124.882,677.945,80.536,118.391,351.113,79.589,-69.24,664.731,50.887,-71.205,366.135,51.526,184.888,619.305,57.447,183.235,401.019,49.383,75.74,568.886,454.931,78.19,459.821,469.273,102.711,592.324,100.086,85.964,437.365,101.64
6,-23.764,636.743,940.906,-24.965,401.98,951.124,137.178,561.754,966.901,138.434,473.228,970.694,74.217,675.605,474.068,72.879,349.184,476.237,124.876,677.897,80.493,118.36,351.208,79.53,-69.251,664.705,50.844,-71.218,366.137,51.57,184.889,619.3,57.441,183.233,400.974,49.374,75.724,568.91,454.924,78.14,459.802,469.286,102.68,592.352,100.061,85.975,437.347,101.635
7,-23.755,636.722,940.924,-24.971,402.008,951.113,137.167,561.752,966.92,138.444,473.16,970.673,74.193,675.573,474.076,72.868,349.146,476.255,124.885,677.974,80.531,118.389,351.122,79.593,-69.229,664.683,50.854,-71.225,366.142,51.611,184.878,619.299,57.429,183.233,400.977,49.351,75.671,568.894,454.901,78.171,459.78,469.28,102.684,592.392,100.045,85.954,437.339,101.639
8,-23.783,636.698,940.906,-24.942,402.007,951.087,137.167,561.712,966.9,138.442,473.197,970.665,74.162,675.626,474.098,72.875,349.181,476.23,124.882,677.919,80.52,118.391,351.159,79.55,-69.24,664.676,50.847,-71.227,366.15,51.649,184.9,619.298,57.429,183.228,400.952,49.378,75.66,568.902,454.945,78.128,459.84,469.33,102.711,592.358,100.063,85.973,437.348,101.633
9,-23.775,636.665,940.907,-24.94,401.969,951.104,137.157,561.678,966.906,138.467,473.215,970.662,74.172,675.552,474.041,72.854,349.116,476.265,124.889,677.914,80.525,118.392,351.151,79.592,-69.223,664.729,50.839,-71.224,366.16,51.682,184.891,619.27,57.436,183.225,400.905,49.392,75.64,568.839,454.936,78.21,459.836,469.311,102.718,592.36,100.077,85.959,437.368,101.636
