Type,Timestamp,X,Y,Z,Gyro_X,Gyro_Y,Gyro_Z
ags,23415280,252,-5,11217,-49,63,-105
ags,23415290,249,24,11229,-33,78,-120
ags,23415300,247,34,11268,-33,81,-86
ags,23415310,218,34,11256,-55,78,-93
ags,23415320,247,-3,11261,-37,81,-93
ags,23415330,261,9,11244,-30,75,-123
ags,23415340,264,26,11251,-12,78,-102
ags,23415350,227,24,11234,-40,72,-114
ags,23415360,257,22,11195,-30,69,-83
ags,23415370,266,-20,11156,-37,96,-105
ags,23415380,274,14,11215,-40,84,-114
ags,23415390,222,39,11244,-24,90,-99
ags,23415400,237,53,11256,-30,84,-80
ags,23415410,247,-5,11188,-43,84,-123
ags,23415420,235,36,11256,-30,72,-111
ags,23415430,288,36,11200,-49,87,-111
ags,23415440,261,22,11210,-55,93,-102
ags,23415450,259,19,11197,-46,72,-90
ags,23415460,254,-20,11229,-33,93,-93
ags,23415470,257,7,11219,-27,81,-132
ags,23415480,244,46,11171,-40,90,-114
ags,23415490,240,7,11229,-46,87,-108
ags,23415500,240,2,11237,-33,102,-105
ags,23415510,247,19,11222,-37,90,-105
ags,23415520,276,9,11205,-24,102,-102
ags,23415530,293,12,11229,-55,66,-96
ags,23415540,249,17,11256,-49,87,-120
ags,23415550,220,34,11207,-46,78,-111
ags,23415560,266,29,11246,-24,87,-96
ags,23415570,269,7,11178,-33,84,-99
ags,23415580,249,29,11200,-52,96,-99
ags,23415590,225,56,11278,-40,105,-99
ags,23415600,186,36,11246,-61,96,-86
ags,23415610,266,48,11188,-30,69,-111
ags,23415620,240,29,11224,-43,72,-120
ags,23415630,230,19,11132,-43,105,-105
ags,23415640,249,41,11197,-37,72,-105
ags,23415650,276,-13,11183,-43,87,-117
ags,23415660,237,31,11244,-30,63,-90
ags,23415670,218,17,11193,-30,72,-93
ags,23415680,274,22,11232,-27,93,-86
ags,23415690,281,24,11161,-37,78,-114
ags,23415700,227,2,11280,-30,75,-93
ags,23415710,230,31,11229,-33,111,-93
ags,23415720,266,12,11212,-43,69,-105
ags,23415730,261,31,11234,-27,81,-102
ags,23415740,252,9,11234,-33,72,-108
ags,23415750,274,9,11232,-58,99,-105
ags,23415760,244,17,11249,-49,78,-111
ags,23415770,215,9,11190,-33,93,-108
ags,23415780,232,19,11219,-30,69,-120
ags,23415790,244,2,11227,-18,81,-111
ags,23415800,257,26,11188,-12,78,-114
ags,23415810,257,-17,11207,-33,93,-105
ags,23415820,281,53,11202,-37,66,-99
ags,23415830,220,51,11232,-49,78,-105
ags,23415840,235,-5,11239,-52,99,-108
ags,23415850,266,46,11188,-33,96,-93
ags,23415860,259,24,11122,-30,96,-111
ags,23415870,254,-10,11219,-33,99,-102
ags,23415880,247,14,11241,-30,87,-114
ags,23415890,266,9,11217,-43,90,-86
ags,23415900,257,39,11132,-43,99,-105
ags,23415910,242,29,11212,-15,81,-90
ags,23415920,249,48,11271,-24,75,-99
ags,23415930,249,4,11212,-33,90,-108
ags,23415940,269,17,11285,-70,90,-102
ags,23415950,261,0,11156,-40,78,-117
ags,23415960,283,4,11222,-49,96,-114
ags,23415970,254,44,11261,-30,105,-117
ags,23415980,247,-37,11273,-40,81,-111
ags,23415990,249,14,11217,-30,105,-114
ags,23416000,244,46,11295,-30,75,-108
ags,23416010,227,17,11241,-52,93,-111
ags,23416020,198,19,11224,-43,75,-108
ags,23416030,286,19,11185,-18,84,-114
ags,23416040,242,17,11249,-18,105,-102
ags,23416050,261,-8,11324,-52,87,-108
ags,23416060,254,39,11283,-40,99,-111
ags,23416070,237,-5,11224,-30,84,-102
ags,23416080,227,12,11288,-33,72,-99
ags,23416090,257,44,11249,-37,72,-117
ags,23416100,276,4,11168,-40,90,-108
ags,23416110,252,29,11241,-37,63,-114
ags,23416120,257,41,11276,-18,90,-114
ags,23416130,247,53,11217,-40,90,-86
ags,23416140,266,34,11261,-37,81,-117
ags,23416150,208,7,11224,-33,78,-108
ags,23416160,274,63,11293,-27,96,-102
ags,23416170,237,36,11251,-43,96,-123
ags,23416180,244,51,11302,-12,75,-99
ags,23416190,252,-13,11261,-49,72,-102
ags,23416200,252,24,11263,-46,87,-93
ags,23416210,240,48,11215,-21,75,-111
ags,23416220,261,53,11261,-30,105,-120
ags,23416230,249,17,11227,-33,78,-105
ags,23416240,235,4,11205,-30,87,-102
ags,23416250,235,39,11239,-21,78,-120
ags,23416260,254,19,11224,-43,75,-102
ags,23416270,261,22,11175,-33,87,-102
ags,23416280,205,26,11246,-37,90,-99
ags,23416290,249,-8,11146,-43,75,-117
