Type,Timestamp,X,Y,Z,Gyro_X,Gyro_Y,Gyro_Z
ags,85194233,-2023,1538,9686,112,169,42
ags,85194243,-2179,1479,9832,76,279,0
ags,85194253,-2072,1391,9686,-21,193,-36
ags,85194263,-2121,1352,9725,64,59,5
ags,85194273,-2052,1372,9676,64,205,-12
ags,85194283,-2042,1479,9764,149,-87,-18
ags,85194293,-2130,1518,9793,216,126,5
ags,85194303,-2140,1567,9754,-27,-160,30
ags,85194313,-2111,1440,9637,204,-56,-12
ags,85194323,-2150,1401,9881,-106,-190,36
ags,85194333,-1984,1381,9656,-64,-203,48
ags,85194343,-2130,1421,9715,131,-1,42
ags,85194353,-2003,1645,9764,-51,-80,12
ags,85194363,-2111,1450,9881,3,-239,18
ags,85194373,-2199,1430,9735,-131,83,-12
ags,85194383,-2101,1421,9686,-210,-203,24
ags,85194393,-2111,1381,9695,-27,132,18
ags,85194403,-2091,1440,9617,-45,59,-48
ags,85194413,-2081,1489,9744,-180,53,0
ags,85194423,-2150,1528,9676,-15,4,-24
ags,85194433,-2111,1421,9735,112,22,24
ags,85194443,-2062,1479,9686,21,-1,54
ags,85194453,-2111,1499,9647,21,53,0
ags,85194463,-2121,1401,9754,-51,-1,18
ags,85194473,-2062,1547,9901,21,193,-48
ags,85194483,-2130,1479,9695,180,108,18
ags,85194493,-2062,1421,9666,88,236,36
ags,85194503,-2101,1401,9920,167,-87,18
ags,85194513,-2052,1440,9774,149,47,12
ags,85194523,-2003,1440,9637,-57,-239,48
ags,85194533,-2052,1528,9705,161,-99,54
ags,85194543,-2052,1547,9774,-137,-32,-6
ags,85194553,-2150,1411,9686,-45,-160,-6
ags,85194563,-2101,1518,9705,100,-184,18
ags,85194573,-2052,1401,9754,-106,-111,-48
ags,85194583,-2111,1538,9715,-76,-184,30
ags,85194593,-2111,1450,9588,-137,28,-6
ags,85194603,-2199,1518,9822,-112,-80,30
ags,85194613,-2101,1538,9803,106,169,-48
ags,85194623,-2072,1411,9744,-149,108,24
ags,85194633,-2111,1430,9686,125,138,-67
ags,85194643,-2081,1518,9725,27,181,-12
ags,85194653,-1964,1460,9793,149,22,67
ags,85194663,-2052,1499,9725,137,285,18
ags,85194673,-1994,1440,9608,39,-1,12
ags,85194683,-2042,1528,9695,33,35,12
ags,85194693,-2130,1460,9754,-3,22,5
ags,85194703,-2033,1489,9735,3,-19,-36
ags,85194713,-2072,1460,9686,27,120,-12
ags,85194723,-2081,1401,9744,-27,35,60
ags,85194733,-2072,1352,9715,112,-50,-36
ags,85194743,-2072,1440,9637,15,35,18
ags,85194753,-2111,1479,9686,15,4,-36
ags,85194763,-2121,1489,9774,45,-25,-18
ags,85194773,-2091,1411,9705,-33,53,-18
ags,85194783,-2179,1430,9725,45,-7,-6
ags,85194793,-2033,1489,9832,45,-19,42
ags,85194803,-2140,1489,9754,-3,-1,24
ags,85194813,-2101,1411,9617,21,-32,24
ags,85194823,-2101,1469,9754,33,10,5
ags,85194833,-2062,1479,9695,-27,-19,0
ags,85194843,-2199,1479,9715,82,16,36
ags,85194853,-2062,1450,9725,27,16,-18
ags,85194863,-2091,1528,9754,3,4,18
ags,85194873,-2081,1391,9764,33,35,36
ags,85194883,-2130,1430,9735,33,-13,-61
ags,85194893,-2052,1450,9783,3,-1,-12
ags,85194903,-2081,1508,9735,21,16,0
ags,85194913,-2052,1499,9764,51,-56,0
ags,85194923,-2150,1528,9666,27,22,12
ags,85194933,-2101,1411,9725,27,-1,42
ags,85194943,-2130,1479,9793,-3,28,0
ags,85194953,-2042,1440,9656,-3,4,36
ags,85194963,-2013,1421,9676,64,35,-6
ags,85194973,-2179,1391,9637,3,-38,12
ags,85194983,-2072,1469,9715,9,22,0
ags,85194993,-2160,1411,9725,-21,53,-12
ags,85195003,-2160,1401,9617,-3,35,30
ags,85195013,-2042,1499,9744,27,22,5
ags,85195023,-2121,1440,9656,3,-1,-6
ags,85195033,-2023,1518,9803,-33,-19,-55
ags,85195043,-2101,1528,9774,-9,65,12
ags,85195053,-2013,1479,9559,33,28,-18
ags,85195063,-2179,1421,9725,9,28,12
ags,85195073,-2091,1518,9705,-64,35,-6
ags,85195083,-2062,1469,9803,21,41,30
ags,85195093,-2062,1518,9774,15,16,-18
ags,85195103,-2052,1587,9852,27,28,5
ags,85195113,-2169,1479,9715,76,53,-36
ags,85195123,-2130,1508,9686,9,53,24
ags,85195133,-2062,1499,9705,-33,16,-18
ags,85195143,-2121,1411,9686,33,59,-91
ags,85195153,-2121,1518,9686,-15,-7,24
ags,85195163,-2160,1508,9774,15,16,5
ags,85195173,-2101,1547,9695,3,47,-18
