Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70608940,106,-56,10167,-6,62,23,geo,70608890,189,408,-603
ags,70608950,74,-68,10150,-7,73,5,geo,70608901,196,405,-597
ags,70608960,65,-117,10111,-4,70,23,geo,70608911,196,406,-599
ags,70608970,86,-80,10116,6,63,24,geo,70608920,196,406,-608
ags,70608980,89,-105,10164,-23,87,26,geo,70608930,196,405,-599
ags,70608990,91,-93,10116,0,66,26,geo,70608941,196,401,-603
ags,70609000,101,-73,10196,-1,58,13,geo,70608951,192,403,-603
ags,70609010,67,-85,10145,13,80,20,geo,70608961,192,408,-606
ags,70609020,72,-85,10118,-2,73,20,geo,70608970,201,401,-597
ags,70609030,99,-146,10096,-10,70,17,geo,70608981,197,403,-601
ags,70609040,69,-127,10174,-6,73,10,geo,70608991,192,403,-609
ags,70609050,94,-83,10172,-7,63,13,geo,70609001,199,406,-603
ags,70609060,91,-117,10111,0,74,2,geo,70609011,192,406,-608
ags,70609070,72,-105,10179,4,76,12,geo,70609021,196,406,-606
ags,70609080,62,-105,10157,0,73,13,geo,70609030,196,400,-603
ags,70609090,94,-66,10081,-15,80,22,geo,70609041,197,406,-608
ags,70609100,96,-107,10138,-6,58,29,geo,70609051,199,403,-599
ags,70609110,113,-134,10057,-14,79,19,geo,70609061,192,403,-606
ags,70609120,91,-137,10084,-1,83,24,geo,70609071,194,405,-611
ags,70609130,91,-95,10138,-9,77,23,geo,70609080,201,401,-603
ags,70609140,69,-100,10106,-15,57,21,geo,70609091,196,403,-603
ags,70609150,118,-93,10138,-7,85,1,geo,70609101,199,401,-609
ags,70609160,84,-46,10121,7,86,11,geo,70609111,196,408,-609
ags,70609170,86,-85,10096,-3,81,19,geo,70609120,197,405,-609
ags,70609180,118,-78,10133,8,54,7,geo,70609130,199,406,-609
ags,70609190,77,-63,10128,2,51,7,geo,70609141,194,405,-611
ags,70609200,111,-85,10184,-10,85,18,geo,70609151,196,406,-611
ags,70609210,82,-124,10177,-1,67,13,geo,70609161,197,403,-609
ags,70609220,74,-107,10164,-22,75,27,geo,70609171,192,405,-609
ags,70609230,99,-51,10125,-7,84,26,geo,70609181,196,403,-611
ags,70609240,79,-73,10018,-2,54,32,geo,70609190,197,403,-611
ags,70609250,67,-95,10079,-19,59,27,geo,70609201,191,403,-609
ags,70609260,79,-98,10130,-9,67,10,geo,70609211,192,403,-609
ags,70609270,89,-100,10142,5,54,6,geo,70609221,192,403,-611
ags,70609280,82,-95,10177,-23,57,17,geo,70609231,184,417,-642
ags,70609290,126,-61,10177,-19,66,23,geo,70609241,197,406,-608
ags,70609300,106,-107,10086,17,64,13,geo,70609251,194,406,-609
ags,70609310,86,-93,10113,-13,77,1,geo,70609261,196,405,-613
ags,70609320,99,-112,10116,-3,72,10,geo,70609271,192,398,-609
ags,70609330,113,-66,10145,-2,62,20,geo,70609281,194,403,-611
ags,70609340,101,-98,10128,-20,76,15,geo,70609291,196,401,-611
ags,70609350,106,-124,10130,-1,54,14,geo,70609301,192,406,-611
ags,70609360,82,-80,10113,-21,61,39,geo,70609311,196,403,-609
ags,70609370,108,-66,10186,-7,69,13,geo,70609321,194,401,-609
ags,70609380,89,-98,10118,4,78,24,geo,70609331,196,403,-609
ags,70609390,91,-107,10177,20,57,11,geo,70609341,197,406,-608
ags,70609400,106,-98,10096,-2,73,18,geo,70609351,194,405,-611
ags,70609410,84,-110,10133,-7,61,27,geo,70609361,196,406,-609
ags,70609420,113,-51,10174,-6,81,2,geo,70609371,194,408,-611
ags,70609430,67,-102,10074,10,68,14,geo,70609381,194,403,-611
ags,70609440,79,-83,10116,4,79,25,geo,70609391,196,406,-611
ags,70609450,72,-102,10155,-21,74,14,geo,70609401,196,406,-609
ags,70609460,79,-115,10135,-26,82,23,geo,70609411,194,403,-609
ags,70609470,72,-90,10142,7,69,16,geo,70609421,191,405,-609
ags,70609480,77,-117,10118,-16,61,20,geo,70609431,192,403,-611
ags,70609490,50,-95,10160,4,66,22,geo,70609441,192,403,-611
ags,70609500,60,-95,10167,-10,91,13,geo,70609451,197,405,-609
ags,70609510,91,-100,10096,-6,59,5,geo,70609461,197,406,-609
ags,70609520,74,-73,10130,-19,67,30,geo,70609471,194,406,-611
ags,70609530,79,-85,10145,-14,88,20,geo,70609481,196,398,-609
ags,70609540,62,-93,10142,-12,55,20,geo,70609491,197,403,-611
ags,70609550,86,-117,10101,-3,63,31,geo,70609501,191,406,-611
ags,70609560,60,-137,10108,0,70,15,geo,70609511,192,408,-609
ags,70609570,69,-51,10191,-9,77,16,geo,70609521,197,403,-611
ags,70609580,89,-127,10208,-12,87,25,geo,70609531,196,405,-613
ags,70609590,62,-102,10133,-16,76,16,geo,70609541,196,406,-611
ags,70609600,62,-80,10118,-20,82,23,geo,70609551,194,406,-613
ags,70609610,91,-107,10111,-2,64,28,geo,70609561,196,401,-611
ags,70609620,108,-76,10208,-1,74,16,geo,70609571,196,405,-608
ags,70609630,111,-100,10111,-13,65,11,geo,70609581,196,403,-613
ags,70609640,84,-122,10128,-18,61,40,geo,70609591,194,405,-616
ags,70609650,52,-110,10101,-17,72,0,geo,70609601,196,405,-611
ags,70609660,65,-105,10145,-16,75,20,geo,70609611,197,401,-609
ags,70609670,84,-85,10099,-8,73,24,geo,70609621,192,403,-611
ags,70609680,94,-139,10130,-11,80,4,geo,70609631,196,403,-611
ags,70609690,77,-85,10135,-12,58,13,geo,70609641,196,405,-613
ags,70609700,84,-80,10096,-16,85,6,geo,70609651,196,400,-609
ags,70609710,106,-107,10052,-13,77,9,geo,70609661,189,417,-644
ags,70609720,89,-98,10123,-6,72,11,geo,70609671,194,408,-615
ags,70609730,52,-73,10125,-29,63,21,geo,70609681,197,403,-609
ags,70609740,84,-112,10155,-1,58,29,geo,70609691,196,406,-611
ags,70609750,69,-95,10164,-17,57,10,geo,70609701,194,403,-611
ags,70609760,62,-95,10152,0,79,0,geo,70609711,196,403,-611
ags,70609770,118,-58,10074,-6,71,20,geo,70609721,199,400,-613
ags,70609780,82,-129,10194,-26,53,21,geo,70609731,196,403,-611
ags,70609790,101,-78,10152,-23,75,25,geo,70609741,196,403,-611
ags,70609800,65,-80,10150,-9,72,22,geo,70609751,201,401,-613
ags,70609810,86,-88,10101,-1,73,34,geo,70609761,196,403,-613
ags,70609820,77,-112,10108,-6,61,27,geo,70609771,196,405,-611
ags,70609830,94,-129,10186,-3,71,15,geo,70609781,194,405,-611
ags,70609840,84,-90,10118,-8,68,16,geo,70609791,184,414,-645
ags,70609850,82,-102,10174,-14,64,26,geo,70609801,197,401,-615
ags,70609860,28,-63,10130,-10,73,15,geo,70609811,192,400,-611
ags,70609870,62,-95,10228,-6,71,16,geo,70609821,196,401,-613
ags,70609880,91,-100,10135,-22,73,11,geo,70609831,192,401,-613
ags,70609890,106,-102,10191,-8,68,-8,geo,70609841,196,403,-611
ags,70609900,62,-129,10084,-30,74,32,geo,70609851,194,403,-613
ags,70609910,67,-90,10138,-6,60,29,geo,70609861,197,405,-609
ags,70609920,77,-124,10108,4,72,27,geo,70609871,184,404,-623
ags,70609930,79,-93,10172,7,72,24,geo,70609881,196,401,-613
ags,70609940,47,-115,10108,-17,63,23,geo,70609890,196,408,-611
ags,70609950,101,-95,10174,-7,67,14,geo,70609901,196,403,-611
ags,70609960,101,-24,10128,0,67,21,geo,70609911,196,403,-613
ags,70609970,50,-93,10172,-16,81,6,geo,70609921,192,405,-611
ags,70609980,69,-63,10191,-6,87,7,geo,70609931,199,403,-611
ags,70609990,91,-88,10130,-6,76,16,geo,70609940,196,403,-606
ags,70610000,65,-98,10157,-2,61,16,geo,70609951,192,403,-606
ags,70610010,50,-71,10142,-1,67,16,geo,70609961,196,403,-609
ags,70610020,86,-102,10145,-12,61,14,geo,70609971,184,402,-618
ags,70610030,69,-141,10167,-6,81,14,geo,70609980,196,405,-609
ags,70610040,65,-76,10094,-25,84,32,geo,70609990,196,400,-609
ags,70610050,47,-107,10147,-15,74,19,geo,70610001,196,401,-615
ags,70610060,60,-117,10077,-9,67,22,geo,70610011,196,405,-611
ags,70610070,106,-76,10096,6,61,13,geo,70610021,199,401,-613
ags,70610080,84,-119,10108,10,55,23,geo,70610031,196,405,-613
ags,70610090,60,-132,10116,17,74,26,geo,70610041,197,403,-613
ags,70610100,96,-88,10099,-7,64,21,geo,70610051,196,406,-611
ags,70610110,40,-129,10103,-4,78,32,geo,70610061,194,406,-608
ags,70610120,84,-117,10228,-9,67,17,geo,70610071,197,401,-609
ags,70610130,113,-90,10213,0,72,19,geo,70610081,196,400,-608
ags,70610140,89,-83,10206,10,67,22,geo,70610091,202,405,-609
ags,70610150,57,-90,10111,-11,64,17,geo,70610101,196,403,-609
