Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70608930,-3135,1147,11266,33,55,-85,geo,70608880,-252,187,-213
ags,70608940,-3125,1123,11197,64,31,-63,geo,70608890,-245,177,-210
ags,70608950,-3079,1145,11185,33,77,-60,geo,70608900,-247,183,-215
ags,70608960,-3128,1135,11249,39,86,-85,geo,70608910,-243,187,-218
ags,70608970,-3145,1103,11288,27,59,-42,geo,70608920,-245,183,-218
ags,70608980,-3140,1106,11188,42,74,-75,geo,70608931,-245,183,-226
ags,70608990,-3150,1147,11305,42,55,-72,geo,70608941,-243,183,-221
ags,70609000,-3121,1123,11170,39,71,-66,geo,70608951,-247,187,-230
ags,70609010,-3138,1142,11239,45,52,-69,geo,70608961,-240,190,-230
ags,70609020,-3104,1138,11244,33,40,-66,geo,70608970,-240,183,-221
ags,70609030,-3096,1133,11253,30,68,-75,geo,70608981,-243,187,-230
ags,70609040,-3118,1111,11268,42,49,-72,geo,70608991,-247,188,-230
ags,70609050,-3130,1138,11244,61,55,-82,geo,70609001,-247,187,-226
ags,70609060,-3157,1128,11185,39,43,-66,geo,70609011,-247,183,-230
ags,70609070,-3091,1140,11290,39,52,-69,geo,70609021,-245,185,-228
ags,70609080,-3074,1118,11239,30,71,-69,geo,70609031,-247,183,-228
ags,70609090,-3125,1135,11268,24,77,-82,geo,70609041,-247,187,-226
ags,70609100,-3121,1120,11222,52,59,-72,geo,70609051,-242,192,-223
ags,70609110,-3133,1160,11258,33,62,-94,geo,70609061,-248,188,-233
ags,70609120,-3108,1164,11283,49,62,-66,geo,70609071,-243,183,-233
ags,70609130,-3138,1174,11222,24,68,-78,geo,70609081,-245,187,-223
ags,70609140,-3108,1133,11285,24,62,-75,geo,70609091,-250,182,-231
ags,70609150,-3094,1133,11224,52,65,-60,geo,70609101,-245,187,-228
ags,70609160,-3143,1113,11256,58,68,-91,geo,70609111,-250,187,-220
ags,70609170,-3108,1123,11231,18,43,-69,geo,70609121,-247,188,-230
ags,70609180,-3116,1150,11275,21,74,-78,geo,70609131,-247,182,-230
ags,70609190,-3135,1113,11222,39,74,-75,geo,70609141,-247,187,-230
ags,70609200,-3111,1138,11268,64,52,-78,geo,70609151,-247,188,-230
ags,70609210,-3169,1130,11263,42,62,-88,geo,70609161,-248,183,-230
ags,70609220,-3135,1140,11249,45,62,-72,geo,70609171,-250,183,-230
ags,70609230,-3118,1108,11271,49,62,-75,geo,70609181,-245,185,-228
ags,70609240,-3123,1133,11249,24,74,-85,geo,70609191,-248,185,-228
ags,70609250,-3099,1155,11236,64,62,-75,geo,70609201,-248,190,-231
ags,70609260,-3101,1103,11239,45,68,-69,geo,70609211,-250,187,-228
ags,70609270,-3121,1172,11258,42,71,-75,geo,70609221,-245,183,-230
ags,70609280,-3157,1123,11212,55,37,-69,geo,70609230,-245,183,-230
ags,70609290,-3152,1130,11241,64,52,-75,geo,70609241,-247,190,-233
ags,70609300,-3106,1150,11297,45,59,-60,geo,70609251,-245,192,-231
ags,70609310,-3150,1128,11271,33,65,-75,geo,70609260,-250,188,-234
ags,70609320,-3118,1152,11239,52,59,-57,geo,70609270,-247,183,-233
ags,70609330,-3108,1160,11271,39,55,-82,geo,70609281,-247,185,-231
ags,70609340,-3125,1128,11185,49,52,-75,geo,70609290,-243,187,-230
ags,70609350,-3133,1179,11224,36,71,-63,geo,70609300,-245,188,-233
ags,70609360,-3133,1164,11207,42,65,-82,geo,70609310,-248,185,-231
ags,70609370,-3145,1130,11302,49,46,-57,geo,70609320,-248,187,-234
ags,70609380,-3167,1142,11249,49,59,-75,geo,70609330,-248,182,-231
ags,70609390,-3121,1152,11219,52,77,-75,geo,70609340,-250,187,-233
ags,70609400,-3130,1135,11195,49,52,-82,geo,70609351,-248,185,-231
ags,70609410,-3116,1125,11256,58,62,-57,geo,70609361,-250,182,-228
ags,70609420,-3147,1116,11207,42,52,-88,geo,70609371,-247,178,-228
