Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70608930,214,-4,10330,38,88,10,geo,70608880,-49,216,-489
ags,70608940,182,-17,10257,33,81,4,geo,70608890,-37,217,-503
ags,70608950,206,-12,10369,25,91,7,geo,70608900,-35,214,-487
ags,70608960,206,-22,10327,30,90,14,geo,70608910,-42,214,-502
ags,70608970,187,-19,10347,54,63,13,geo,70608920,-39,209,-502
ags,70608980,185,22,10303,30,91,19,geo,70608931,-39,211,-490
ags,70608990,233,-14,10322,31,78,13,geo,70608941,-44,216,-508
ags,70609000,192,27,10332,28,79,23,geo,70608951,-44,207,-490
ags,70609010,150,-51,10362,35,71,20,geo,70608961,-39,202,-492
ags,70609020,177,-4,10322,8,92,16,geo,70608971,-39,207,-489
ags,70609030,204,15,10308,22,89,8,geo,70608981,-39,212,-510
ags,70609040,148,-12,10384,47,92,20,geo,70608991,-35,207,-492
ags,70609050,192,-48,10286,31,75,12,geo,70609001,-39,207,-492
ags,70609060,172,-39,10269,38,104,13,geo,70609011,-42,204,-490
ags,70609070,206,-24,10291,33,94,23,geo,70609021,-37,209,-492
ags,70609080,177,-7,10227,35,83,31,geo,70609031,-39,206,-494
ags,70609090,180,-22,10288,38,72,29,geo,70609041,-44,204,-489
ags,70609100,194,-19,10305,32,107,13,geo,70609051,-40,207,-495
ags,70609110,185,-9,10261,38,73,29,geo,70609061,-40,204,-490
ags,70609120,182,-29,10259,33,97,4,geo,70609071,-40,207,-494
ags,70609130,170,-9,10340,14,91,-7,geo,70609081,-44,207,-495
ags,70609140,163,-2,10291,26,80,10,geo,70609091,-39,212,-508
ags,70609150,172,-14,10293,18,74,22,geo,70609101,-40,207,-490
ags,70609160,158,-31,10305,25,94,11,geo,70609111,-39,204,-494
ags,70609170,177,13,10293,28,88,12,geo,70609121,-42,209,-510
ags,70609180,209,-36,10322,30,77,12,geo,70609131,-39,209,-492
ags,70609190,182,-31,10279,19,97,12,geo,70609141,-42,204,-492
ags,70609200,158,-24,10337,44,65,16,geo,70609151,-44,206,-492
ags,70609210,175,-14,10332,33,75,21,geo,70609161,-40,202,-492
ags,70609220,199,-17,10366,39,99,-1,geo,70609171,-45,207,-490
ags,70609230,209,8,10301,41,94,35,geo,70609181,-42,207,-492
ags,70609240,211,0,10364,20,103,-6,geo,70609191,-42,207,-494
ags,70609250,167,-29,10310,41,92,13,geo,70609201,-39,202,-490
ags,70609260,216,-12,10308,34,72,11,geo,70609211,-44,206,-490
ags,70609270,187,-14,10401,37,86,19,geo,70609221,-47,207,-492
ags,70609280,141,-19,10359,35,88,24,geo,70609231,-47,204,-495
ags,70609290,189,-26,10315,24,81,38,geo,70609241,-44,211,-494
ags,70609300,182,-14,10342,28,91,22,geo,70609251,-42,206,-495
ags,70609310,177,-48,10318,47,100,1,geo,70609261,-42,204,-492
ags,70609320,150,-19,10376,30,85,13,geo,70609271,-40,206,-490
ags,70609330,185,-7,10308,25,78,6,geo,70609281,-39,204,-492
ags,70609340,209,-56,10332,35,78,1,geo,70609291,-40,206,-494
ags,70609350,185,-12,10313,34,77,22,geo,70609301,-45,206,-492
ags,70609360,209,-9,10388,28,76,28,geo,70609311,-44,202,-489
ags,70609370,172,-12,10313,32,63,7,geo,70609321,-40,206,-492
ags,70609380,189,-12,10337,45,77,7,geo,70609331,-40,204,-492
ags,70609390,185,-7,10342,30,74,16,geo,70609341,-40,207,-492
ags,70609400,202,-34,10335,41,87,13,geo,70609351,-40,204,-492
ags,70609410,182,-24,10332,29,83,7,geo,70609361,-39,209,-494
ags,70609420,153,-2,10322,21,102,35,geo,70609371,-42,202,-492
ags,70609430,165,13,10359,26,78,12,geo,70609381,-39,206,-490
ags,70609440,170,-9,10340,33,74,-4,geo,70609391,-40,216,-510
ags,70609450,172,-51,10313,45,97,7,geo,70609401,-40,207,-490
ags,70609460,197,-31,10371,53,65,21,geo,70609411,-39,207,-492
ags,70609470,209,-7,10340,31,92,8,geo,70609421,-45,209,-490
ags,70609480,163,-12,10330,38,91,10,geo,70609431,-42,204,-492
ags,70609490,192,-34,10354,28,74,4,geo,70609441,-42,211,-510
ags,70609500,202,-41,10303,43,74,13,geo,70609451,-40,206,-494
ags,70609510,177,-19,10347,25,77,18,geo,70609461,-40,206,-494
ags,70609520,160,-48,10344,48,79,16,geo,70609471,-42,206,-494
ags,70609530,175,-7,10310,29,87,13,geo,70609481,-40,206,-492
ags,70609540,219,-39,10274,26,68,20,geo,70609490,-40,211,-510
ags,70609550,194,20,10376,31,80,19,geo,70609500,-45,207,-495
ags,70609560,177,-44,10325,41,76,26,geo,70609511,-45,211,-494
ags,70609570,185,5,10281,41,80,14,geo,70609521,-49,206,-495
ags,70609580,163,-51,10337,26,81,7,geo,70609531,-44,211,-495
