Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70608910,-1622,27,10103,-37,64,-3,geo,70608870,-36,295,-498
ags,70608920,-1630,54,10144,-57,44,-4,geo,70608881,-20,287,-499
ags,70608930,-1608,27,10149,-60,52,7,geo,70608891,-25,290,-493
ags,70608940,-1627,15,10088,-42,53,1,geo,70608900,-41,300,-509
ags,70608950,-1647,32,10083,-50,26,-28,geo,70608911,-27,288,-504
ags,70608960,-1654,59,10223,-49,52,-21,geo,70608921,-27,297,-511
ags,70608970,-1700,10,10157,-45,68,2,geo,70608931,-25,292,-513
ags,70608980,-1652,20,10142,-59,55,-13,geo,70608940,-24,295,-509
ags,70608990,-1647,49,10110,-37,45,-5,geo,70608951,-29,295,-509
ags,70609000,-1634,-15,10166,-52,45,-16,geo,70608961,-25,287,-512
ags,70609010,-1647,29,10183,-32,40,-9,geo,70608971,-27,289,-514
ags,70609020,-1637,61,10113,-34,47,-18,geo,70608981,-20,293,-508
ags,70609030,-1647,20,10120,-48,61,15,geo,70608991,-24,292,-500
ags,70609040,-1627,-10,10105,-54,43,-18,geo,70609001,-22,292,-506
ags,70609050,-1630,39,10157,-24,40,-15,geo,70609011,-22,288,-510
ags,70609060,-1627,54,10135,-27,44,-17,geo,70609021,-34,299,-521
ags,70609070,-1608,46,10066,-45,46,5,geo,70609031,-27,287,-512
ags,70609080,-1627,34,10115,-33,54,-9,geo,70609041,-25,293,-509
ags,70609090,-1654,37,10147,-41,58,-14,geo,70609051,-29,293,-509
ags,70609100,-1652,34,10183,-41,36,-14,geo,70609061,-29,295,-506
ags,70609110,-1627,7,10147,-42,55,8,geo,70609071,-25,295,-511
ags,70609120,-1649,-15,10193,-48,45,-2,geo,70609081,-24,287,-502
ags,70609130,-1644,17,10166,-39,61,4,geo,70609091,-27,283,-505
ags,70609140,-1627,20,10125,-25,71,3,geo,70609101,-37,283,-504
ags,70609150,-1622,27,10159,-61,38,-6,geo,70609111,-25,290,-505
ags,70609160,-1644,39,10174,-63,58,4,geo,70609121,-24,292,-509
ags,70609170,-1654,7,10144,-51,42,14,geo,70609131,-32,293,-511
ags,70609180,-1610,22,10113,-46,62,8,geo,70609140,-25,292,-501
ags,70609190,-1620,54,10152,-41,29,3,geo,70609151,-25,293,-509
ags,70609200,-1676,20,10144,-21,64,2,geo,70609160,-29,293,-509
ags,70609210,-1644,49,10223,-38,58,-2,geo,70609171,-29,292,-511
ags,70609220,-1664,22,10181,-23,48,-6,geo,70609181,-25,292,-509
ags,70609230,-1666,37,10122,-49,29,6,geo,70609191,-22,288,-500
ags,70609240,-1664,-7,10166,-47,61,7,geo,70609201,-20,290,-505
ags,70609250,-1620,61,10147,-44,44,7,geo,70609211,-24,288,-508
ags,70609260,-1666,49,10110,-40,54,-10,geo,70609221,-27,292,-506
ags,70609270,-1671,15,10122,-53,45,6,geo,70609231,-29,290,-508
ags,70609280,-1639,39,10120,-61,54,13,geo,70609240,-29,293,-506
ags,70609290,-1639,12,10108,-61,61,-13,geo,70609251,-30,287,-508
ags,70609300,-1603,51,10157,-49,33,-8,geo,70609261,-25,292,-508
ags,70609310,-1639,61,10174,-48,56,-3,geo,70609271,-27,285,-508
ags,70609320,-1639,32,10108,-43,70,1,geo,70609281,-29,295,-509
ags,70609330,-1654,15,10091,-45,39,14,geo,70609291,-32,290,-506
ags,70609340,-1639,15,10125,-45,48,6,geo,70609301,-30,287,-508
ags,70609350,-1674,0,10135,-41,67,-18,geo,70609311,-30,292,-509
ags,70609360,-1666,-2,10205,-47,32,5,geo,70609321,-25,292,-508
ags,70609370,-1642,15,10181,-56,41,10,geo,70609330,-27,285,-505
ags,70609380,-1627,34,10093,-47,45,4,geo,70609341,-25,287,-505
ags,70609390,-1632,-12,10132,-67,27,1,geo,70609351,-25,293,-509
ags,70609400,-1664,12,10074,-45,40,-3,geo,70609361,-27,290,-511
ags,70609410,-1674,3,10103,-51,51,0,geo,70609371,-25,295,-509
ags,70609420,-1664,17,10096,-54,52,-3,geo,70609381,-27,285,-504
ags,70609430,-1652,22,10154,-51,63,-13,geo,70609391,-25,293,-508
ags,70609440,-1671,17,10198,-22,64,12,geo,70609401,-25,287,-510
ags,70609450,-1639,-10,10164,-50,45,1,geo,70609411,-27,285,-504
ags,70609460,-1627,7,10154,-45,48,-9,geo,70609421,-27,288,-510
ags,70609470,-1666,44,10186,-45,48,8,geo,70609430,-25,287,-504
ags,70609480,-1610,29,10113,-62,71,7,geo,70609440,-25,288,-505
ags,70609490,-1608,81,10098,-38,64,5,geo,70609451,-25,287,-504
ags,70609500,-1632,27,10193,-45,46,-29,geo,70609461,-24,275,-505
ags,70609510,-1608,42,10166,-53,55,0,geo,70609470,-29,283,-505
ags,70609520,-1610,71,10132,-46,42,1,geo,70609481,-27,287,-508
ags,70609530,-1613,37,10149,-46,32,16,geo,70609491,-25,282,-508
ags,70609540,-1634,34,10115,-29,63,-24,geo,70609501,-27,285,-507
ags,70609550,-1600,24,10098,-39,66,0,geo,70609511,-27,288,-505
ags,70609560,-1639,22,10142,-31,59,0,geo,70609520,-29,285,-502
ags,70609570,-1634,27,10154,-43,74,4,geo,70609531,-39,299,-519
ags,70609580,-1625,12,10169,-57,69,4,geo,70609541,-24,278,-507
ags,70609590,-1634,-2,10147,-49,54,-9,geo,70609551,-29,287,-502
ags,70609600,-1642,54,10088,-44,32,-15,geo,70609560,-25,285,-502
ags,70609610,-1627,56,10122,-58,61,5,geo,70609570,-29,283,-504
ags,70609620,-1610,32,10171,-49,43,2,geo,70609580,-25,283,-505
ags,70609630,-1639,59,10179,-51,74,-9,geo,70609591,-25,287,-502
ags,70609640,-1637,24,10086,-46,37,-29,geo,70609601,-32,285,-502
ags,70609650,-1625,7,10159,-56,26,11,geo,70609610,-30,283,-505
ags,70609660,-1634,17,10196,-48,34,-4,geo,70609620,-30,287,-505
ags,70609670,-1654,0,10130,-55,46,-25,geo,70609630,-29,282,-505
ags,70609680,-1627,-46,10205,-57,64,1,geo,70609641,-25,283,-504
ags,70609690,-1639,37,10181,-47,51,-18,geo,70609650,-27,287,-504
ags,70609700,-1652,51,10149,-53,52,13,geo,70609660,-25,287,-504
ags,70609710,-1656,20,10154,-66,45,4,geo,70609670,-25,282,-500
ags,70609720,-1627,12,10125,-54,73,-1,geo,70609680,-29,285,-505
ags,70609730,-1649,17,10118,-45,53,-6,geo,70609691,-22,282,-505
ags,70609740,-1654,5,10125,-54,61,-10,geo,70609700,-25,285,-507
ags,70609750,-1647,24,10137,-38,42,-8,geo,70609710,-24,292,-505
ags,70609760,-1666,10,10144,-24,41,-10,geo,70609720,-29,288,-504
ags,70609770,-1627,42,10059,-42,29,-6,geo,70609730,-39,297,-527
ags,70609780,-1588,39,10161,-38,62,11,geo,70609740,-25,290,-503
ags,70609790,-1620,17,10159,-47,46,1,geo,70609750,-25,288,-508
