Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70608930,233,-6794,7634,14,26,-40,geo,70608880,396,493,-375
ags,70608940,201,-6762,7698,-12,38,-57,geo,70608890,398,492,-385
ags,70608950,174,-6784,7661,8,24,-52,geo,70608900,408,487,-378
ags,70608960,172,-6728,7649,-11,34,-54,geo,70608910,406,490,-377
ags,70608970,208,-6801,7717,12,25,-45,geo,70608920,394,501,-400
ags,70608980,181,-6789,7620,6,26,-55,geo,70608930,406,487,-382
ags,70608990,201,-6733,7634,13,21,-49,geo,70608941,404,489,-380
ags,70609000,186,-6811,7671,-3,18,-35,geo,70608951,401,490,-388
ags,70609010,181,-6796,7639,0,16,-47,geo,70608961,403,490,-386
ags,70609020,196,-6789,7661,-7,41,-63,geo,70608971,401,489,-382
ags,70609030,184,-6767,7588,12,11,-42,geo,70608980,403,490,-388
ags,70609040,201,-6786,7651,9,21,-41,geo,70608991,403,497,-388
ags,70609050,196,-6782,7700,8,28,-53,geo,70609000,404,492,-390
ags,70609060,208,-6769,7712,21,36,-53,geo,70609011,392,494,-400
ags,70609070,213,-6765,7627,-3,28,-44,geo,70609021,404,494,-391
ags,70609080,203,-6782,7690,11,34,-46,geo,70609031,403,489,-390
ags,70609090,198,-6772,7659,6,34,-41,geo,70609041,406,489,-390
ags,70609100,198,-6796,7615,-13,18,-59,geo,70609051,403,487,-382
ags,70609110,191,-6750,7634,-1,29,-62,geo,70609061,404,492,-388
ags,70609120,233,-6769,7678,14,34,-47,geo,70609071,403,490,-390
ags,70609130,220,-6721,7651,25,34,-41,geo,70609081,403,489,-382
ags,70609140,194,-6738,7654,18,31,-50,geo,70609091,401,487,-390
ags,70609150,218,-6784,7620,6,11,-48,geo,70609101,403,490,-386
ags,70609160,211,-6747,7598,2,23,-43,geo,70609111,404,490,-383
ags,70609170,223,-6808,7588,5,43,-24,geo,70609120,408,489,-388
ags,70609180,225,-6786,7646,5,45,-59,geo,70609131,403,490,-391
ags,70609190,196,-6765,7629,5,24,-50,geo,70609141,398,494,-388
ags,70609200,198,-6765,7588,-3,28,-37,geo,70609151,404,490,-390
ags,70609210,220,-6813,7678,-2,37,-48,geo,70609160,404,492,-388
ags,70609220,189,-6769,7639,9,44,-62,geo,70609171,401,492,-390
ags,70609230,194,-6747,7615,32,24,-45,geo,70609181,403,490,-388
ags,70609240,220,-6791,7622,10,23,-43,geo,70609191,403,485,-380
ags,70609250,181,-6786,7642,-5,22,-42,geo,70609201,404,489,-385
ags,70609260,120,-6801,7649,16,38,-42,geo,70609211,392,498,-403
ags,70609270,194,-6777,7649,13,27,-49,geo,70609221,399,490,-390
ags,70609280,189,-6760,7720,-2,32,-46,geo,70609231,403,487,-391
ags,70609290,191,-6762,7607,-1,38,-44,geo,70609241,403,490,-390
ags,70609300,201,-6786,7637,6,0,-46,geo,70609251,404,490,-386
ags,70609310,208,-6774,7673,3,23,-60,geo,70609261,403,490,-390
ags,70609320,181,-6796,7617,3,11,-55,geo,70609271,403,492,-390
ags,70609330,176,-6789,7585,0,46,-59,geo,70609281,403,490,-385
ags,70609340,137,-6779,7605,-2,20,-52,geo,70609291,401,490,-390
ags,70609350,196,-6782,7659,16,37,-60,geo,70609301,399,487,-390
ags,70609360,252,-6765,7600,4,29,-53,geo,70609311,401,489,-390
ags,70609370,201,-6777,7715,0,16,-44,geo,70609321,404,490,-391
