#論文などで出てきた英単語，熟語などの記録

sparse                  ；疎な，まばらな
Brute-Force             ；力任せ
outperform              ；優れている
proportion              ；割合
lacal                   ；局所的
fiducial                ；基準となる
differentiate           ；微分する
musculoskeletal         ；筋骨格系
stroke                  ；脳卒中
ankle foot orthosis     ；短下肢装具
Ambulation              ；歩行運動
gait                    ；歩き方、歩様
abnormal gait           ：異常歩行
stiffness               ；剛性、強度
prohibitive             ；（法外に）高額な，禁止するための
validate                ：検証する
leverages               ：活用する，使用する
refine                  ：洗練する，向上する
culminate               ：最高潮に達する
affinity                ：親和性
concatenate             ：連結する，つなぐ
exploite                ：利用する，活用する
discrete                ：離散
respectively            ：それぞれ
inlarge                 ：大規模に，概して，一般に
interleaved             ：交互に
hemiplegic              ：片麻痺
compensatory motion     ：代償運動
multifactorial          ：多因子の
quantifiable            ：定量化可能な
tailor-made             ：オーダーメイドの
intervention            ：介入
efficacious             ：効き目のある，有効な
Upper motor neuron syndrome     ：上位運動ニューロン症候群
constellation           ：集まり
sensorimotor impairment ：感覚運動障害
ambulation              ：歩行運動
nature                  ：性質（自然とかももちろんあるよ）
impairment              ：障害
consequence             ：連続的な（結果）
departure               ：逸脱
interlimb               ：中間肢
equilibrium reaction    ：平衡感覚
paretic                 ：麻痺のある
pelvis                  ：骨盤
prolonged               ：延長
whitepaper              ：機能解説をしている文書，白書
exposure                ：露光
orientation             ：方向，オリエンテーション
HPE                     ：Human Pose Estimation 人の姿勢推定
ergonomic               ：人間工学に基づいた
skeletonization         ：骨格化
triangulation           ：三角測量
representation          ：表現
oscilloscope            ：オシロスコープ
synchronous             ：同期
invocation              ：呼び出し
extrinsic               ：外部の


[論文で多そうな表現]
state-of-the-art        :最先端の
out-of-the-box          :すぐに使える，(独創的な)
pros & cons             :メリットとデメリット（ラテン語）
present invention       :本発明，この発明
refer to ～ as ...      :～を...と呼ぶ
hereinafter             :以下    例文→Deep Neural Networks (hereinafter "DNN") is common in perception AI.
likelihood              :尤度
implementation          :実装
Intrarater reliability  :再現性（一人の測定者がどれだけ正確に同じ結果を出せるか）
interrater reliability  :再現性（複数の測定者がどれだけ正確に同じ結果を出せるか）
in vitro，in vivo       :非生体，生体（分野で細かい意味は変わってくる）
wrt                     ：～に関して with refference to の略



[顎運動]
profile                 :横顔
temporomandibular       :顎関節
incisors                :切歯
mastification           :咀嚼
trajectory              :軌跡（pathと違う？）
Stomatognathic Function :顎口腔機能
